iter	Passed	Remaining
470	664	746
471	665	744
472	666	742
473	667	740
474	667	738
475	668	735
476	668	733
477	669	731
478	670	728
479	670	726
480	671	724
481	672	722
482	672	720
483	674	718
484	676	717
485	676	715
486	677	714
487	679	712
488	679	710
489	680	708
490	681	706
491	681	703
492	682	701
493	682	699
494	683	697
495	683	694
496	684	692
497	685	690
498	685	688
499	686	686
500	687	684
501	687	682
502	690	681
503	691	680
504	692	678
505	694	677
506	696	677
507	698	676
508	698	674
509	699	672
510	703	672
511	705	672
512	706	670
513	710	671
514	711	669
515	711	667
516	712	665
517	712	663
518	713	661
519	716	661
520	716	659
521	717	656
522	717	654
523	719	653
524	719	651
525	720	649
526	720	647
527	723	646
528	724	644
529	725	643
530	726	641
531	727	639
532	727	637
533	728	635
534	729	633
535	729	631
536	730	629
537	731	627
538	731	625
539	732	623
540	732	621
541	733	619
542	734	618
543	738	618
544	739	617
545	740	616
546	742	614
547	743	613
548	745	612
549	746	610
550	746	608
551	747	606
552	747	604
553	748	602
554	749	601
555	750	599
556	751	597
557	752	595
558	753	594
559	756	594
560	756	592
561	757	590
562	758	588
563	758	586
564	759	584
565	760	582
566	761	581
567	763	580
568	766	580
569	769	580
570	773	580
571	774	579
572	774	577
573	775	575
574	776	573
575	777	572
576	777	570
577	778	568
578	779	566
579	780	565
580	780	563
581	781	561
582	782	560
583	783	558
584	784	556
585	785	555
586	786	553
587	787	551
588	787	549
589	787	547
590	788	545
591	789	543
592	789	542
593	790	540
594	790	538
595	791	536
596	791	534
597	792	532
598	792	530
599	793	528
600	793	526
601	795	525
602	796	524
603	797	523
604	798	521
605	799	519
606	800	518
607	801	517
608	802	515
609	803	513
610	803	511
611	804	510
612	805	508
613	805	506
614	806	504
615	807	503
616	807	501
617	808	499
618	809	497
619	810	496
620	812	495
621	813	494
622	814	492
623	815	491
624	816	489
625	817	488
626	817	486
627	818	484
628	818	483
629	819	481
630	820	479
631	820	477
632	821	476
633	822	474
634	822	472
635	823	471
636	825	470
637	831	471
638	832	470
639	833	468
640	834	467
641	834	465
642	835	463
643	836	462
644	837	461
645	838	459
646	839	457
647	845	459
648	847	458
649	848	456
650	848	455
651	849	453
652	850	451
653	853	451
654	853	449
655	854	448
656	856	446
657	856	445
658	857	443
659	858	442
660	859	440
661	859	439
662	860	437
663	861	435
664	866	436
665	867	435
666	868	433
667	869	431
668	869	430
669	870	428
670	873	428
671	874	427
672	875	425
673	878	424
674	879	423
675	880	421
676	881	420
677	881	418
678	882	417
679	883	415
680	884	414
681	886	413
682	888	412
683	889	410
684	890	409
685	892	408
686	893	407
687	894	405
688	894	403
689	895	402
690	896	400
691	897	399
692	899	398
693	902	397
694	903	396
695	905	395
696	907	394
697	909	393
698	912	392
699	913	391
700	916	390
701	917	389
702	920	388
703	921	387
704	922	385
705	922	384
706	923	382
707	923	381
708	924	379
709	925	378
710	926	376
711	927	375
712	929	374
713	931	373
714	933	372
715	934	370
716	935	369
717	935	367
718	936	366
719	937	364
720	938	363
721	939	361
722	940	360
723	941	358
724	942	357
725	947	357
726	948	356
727	949	354
728	950	353
729	952	352
730	952	350
731	953	349
732	957	348
733	958	347
734	959	345
735	960	344
736	961	343
737	962	341
738	963	340
739	964	338
740	964	337
741	965	335
742	965	334
743	966	332
744	967	331
745	967	329
746	968	327
747	969	326
748	970	325
749	970	323
750	971	322
751	972	320
752	973	319
753	976	318
754	977	317
755	978	315
756	978	314
757	979	312
758	980	311
759	980	309
760	981	308
761	981	306
762	982	305
763	983	303
764	984	302
765	984	300
766	985	299
767	987	298
768	988	296
769	989	295
770	990	294
771	991	292
772	992	291
773	993	289
774	993	288
775	994	287
776	995	285
777	996	284
778	997	283
779	999	281
780	1000	280
781	1001	279
782	1003	277
783	1005	276
784	1006	275
785	1007	274
786	1009	273
787	1010	271
788	1011	270
789	1014	269
790	1018	269
791	1019	267
792	1021	266
793	1022	265
794	1023	264
795	1026	262
796	1027	261
797	1028	260
798	1031	259
799	1035	258
800	1036	257
801	1037	256
802	1042	255
803	1042	254
804	1043	252
805	1044	251
806	1045	249
807	1047	248
808	1048	247
809	1051	246
810	1052	245
811	1053	243
812	1053	242
813	1054	240
814	1055	239
815	1056	238
816	1056	236
817	1057	235
818	1059	234
819	1060	232
820	1061	231
821	1066	230
822	1067	229
823	1068	228
824	1069	226
825	1069	225
826	1070	223
827	1071	222
828	1072	221
829	1072	219
830	1074	218
831	1075	217
832	1077	216
833	1078	214
834	1080	213
835	1081	212
836	1082	210
837	1083	209
838	1083	207
839	1084	206
840	1085	205
841	1085	203
842	1086	202
843	1087	200
844	1087	199
845	1089	198
846	1091	197
847	1092	195
848	1092	194
849	1093	192
850	1094	191
851	1095	190
852	1096	188
853	1097	187
854	1098	186
855	1100	185
856	1102	184
857	1103	182
858	1104	181
859	1105	179
860	1106	178
861	1106	177
862	1107	175
863	1109	174
864	1110	173
865	1111	171
866	1111	170
867	1112	169
868	1112	167
869	1113	166
870	1114	165
871	1115	163
872	1115	162
873	1116	160
874	1117	159
875	1118	158
876	1119	156
877	1120	155
878	1121	154
879	1122	153
880	1123	151
881	1124	150
882	1125	149
883	1125	147
884	1126	146
885	1127	145
886	1127	143
887	1128	142
888	1130	141
889	1130	139
890	1132	138
891	1133	137
892	1133	135
893	1134	134
894	1135	133
895	1136	131
896	1139	130
897	1140	129
898	1140	128
899	1141	126
900	1142	125
901	1142	124
902	1143	122
903	1144	121
904	1144	120
905	1145	118
906	1146	117
907	1146	116
908	1149	115
909	1151	113
910	1151	112
911	1152	111
912	1153	109
913	1154	108
914	1154	107
915	1155	105
916	1156	104
917	1156	103
918	1157	102
919	1158	100
920	1158	99
921	1159	98
922	1160	96
923	1160	95
924	1161	94
925	1162	92
926	1164	91
927	1165	90
928	1166	89
929	1168	87
930	1170	86
931	1170	85
932	1171	84
933	1172	82
934	1172	81
935	1173	80
936	1174	78
937	1174	77
938	1175	76
939	1176	75
940	1178	73
941	1179	72
942	1181	71
